y u v w 
0.0 13.5577105955 -0.0014947233431 -0.00190224108897
0.00200133422282 13.5575170623 -0.00427060336978 -0.00181406205573
0.00400266844563 13.557323529 -0.00704648339645 -0.00172588302249
0.00600400266845 13.5571299958 -0.00982236342313 -0.00163770398925
0.00800533689126 13.5569364625 -0.0125982434498 -0.00154952495601
0.0100066711141 13.5567429293 -0.0153741234765 -0.00146134592277
0.0120080053369 13.556549396 -0.0181500035031 -0.00137316688953
0.0140093395597 13.5563558628 -0.0209258835298 -0.00128498785628
0.0160106737825 13.5561623295 -0.0237017635565 -0.00119680882305
0.0180120080053 13.5559687962 -0.0264776435832 -0.0011086297898
0.0200133422282 13.5557807663 -0.0295001328571 -0.00111233614407
0.022014676451 13.5555959512 -0.0326666809981 -0.00116971812073
0.0240160106738 13.5554111361 -0.0358332291392 -0.0012271000974
0.0260173448966 13.555226321 -0.0389997772803 -0.00128448207406
0.0280186791194 13.5550415059 -0.0421663254214 -0.00134186405073
0.0300200133422 13.5548566908 -0.0453328735625 -0.00139924602739
0.032021347565 13.5546718757 -0.0484994217036 -0.00145662800406
0.0340226817879 13.5544870606 -0.0516659698447 -0.00151400998073
0.0360240160107 13.5540353062 -0.054773980444 -0.00150501942179
0.0380253502335 13.5532348473 -0.0578055230834 -0.00140932600105
0.0400266844563 13.5524343884 -0.0608370657228 -0.0013136325803
0.0420280186791 13.5516339296 -0.0638686083622 -0.00121793915956
0.0440293529019 13.5508334707 -0.0669001510016 -0.00112224573881
0.0460306871247 13.5500330118 -0.0699316936411 -0.00102655231807
0.0480320213476 13.5492325529 -0.0729632362804 -0.000930858897324
0.0500333555704 13.5484320941 -0.0759947789199 -0.000835165476578
0.0520346897932 13.5476527797 -0.0789380923256 -0.000685559182546
0.054036024016 13.5469419402 -0.0815956832461 -0.000361360868373
0.0560373582388 13.5462311007 -0.0842532741666 -3.71625542033e-05
0.0580386924616 13.5455202611 -0.0869108650871 0.00028703575997
0.0600400266845 13.5448094216 -0.0895684560076 0.000611234074133
0.0620413609073 13.544098582 -0.0922260469282 0.000935432388315
0.0640426951301 13.5433877425 -0.0948836378486 0.00125963070247
0.0660440293529 13.5426769029 -0.0975412287692 0.00158382901664
0.0680453635757 13.5419660634 -0.10019881969 0.00190802733081
0.0700466977985 13.5412552239 -0.10285641061 0.00223222564497
0.0720480320213 13.540302971 -0.105323944985 0.00261677662908
0.0740493662442 13.539313745 -0.1077623716 0.00301057081491
0.076050700467 13.5383245189 -0.110200798215 0.00340436500073
0.0780520346898 13.5373352928 -0.112639224831 0.00379815918654
0.0800533689126 13.5363460667 -0.115077651446 0.00419195337236
0.0820547031354 13.5353568407 -0.117516078061 0.00458574755819
0.0840560373582 13.5343676146 -0.119954504676 0.00497954174402
0.0860573715811 13.5333783886 -0.122392931291 0.00537333592981
0.0880587058039 13.5323891625 -0.124831357906 0.00576713011565
0.0900600400267 13.5314237136 -0.127523293668 0.00592798877341
0.0920613742495 13.530482191 -0.130470327975 0.00585445149231
0.0940627084723 13.5295406683 -0.133417362283 0.00578091421122
0.0960640426951 13.5285991457 -0.136364396589 0.00570737693013
0.0980653769179 13.527657623 -0.139311430896 0.00563383964907
0.100066711141 13.5267161004 -0.142258465203 0.00556030236798
0.102068045364 13.5257745778 -0.14520549951 0.00548676508687
0.104069379586 13.5248330551 -0.148152533817 0.00541322780578
0.106070713809 13.5237696237 -0.151119921387 0.00532458120846
0.108072048032 13.522422794 -0.154134623685 0.0052008103565
0.110073382255 13.5210759642 -0.157149325982 0.00507703950458
0.112074716478 13.5197291345 -0.16016402828 0.00495326865261
0.1140760507 13.5183823048 -0.163178730577 0.00482949780066
0.116077384923 13.517035475 -0.166193432874 0.00470572694869
0.118078719146 13.5156886453 -0.169208135172 0.00458195609675
0.120080053369 13.5143418155 -0.172222837469 0.00445818524482
0.122081387592 13.5129860337 -0.175187183256 0.00433887190423
0.124082721815 13.5115523962 -0.177713579996 0.00425832540508
0.126084056037 13.5101187585 -0.180239976737 0.00417777890594
0.12808539026 13.508685121 -0.182766373477 0.00409723240678
0.130086724483 13.5072514834 -0.185292770218 0.00401668590764
0.132088058706 13.5058178458 -0.187819166958 0.00393613940846
0.134089392929 13.5043842082 -0.190345563698 0.00385559290933
0.136090727151 13.5029505706 -0.192871960438 0.00377504641018
0.138092061374 13.501516933 -0.195398357179 0.00369449991102
0.140093395597 13.5000832954 -0.197924753919 0.00361395341188
0.14209472982 13.4983871828 -0.200397804602 0.00326916968988
0.144096064043 13.4965961324 -0.202851559903 0.00282881080219
0.146097398266 13.4948050821 -0.205305315204 0.00238845191451
0.148098732488 13.4930140317 -0.207759070505 0.00194809302682
0.150100066711 13.4912229813 -0.210212825806 0.00150773413912
0.152101400934 13.489431931 -0.212666581107 0.00106737525143
0.154102735157 13.4876408806 -0.215120336408 0.000627016363763
0.15610406938 13.4858498302 -0.217574091709 0.000186657476064
0.158105403602 13.4840587798 -0.22002784701 -0.000253701411619
0.160106737825 13.4822229021 -0.222647336324 -0.000509239380111
0.162108072048 13.480309247 -0.225554381232 -0.00044410515546
0.164109406271 13.4783955919 -0.228461426141 -0.000378970930797
0.166110740494 13.4764819369 -0.23136847105 -0.000313836706126
0.168112074716 13.4745682818 -0.234275515958 -0.000248702481475
0.170113408939 13.4726546267 -0.237182560867 -0.000183568256824
0.172114743162 13.4707409716 -0.240089605776 -0.000118434032164
0.174116077385 13.4688273166 -0.242996650684 -5.32998074957e-05
0.176117411608 13.4667939469 -0.245867831113 2.36564471184e-05
