r   Veff10  aoa10 ui10 utan10 cn10 ct10 Veff15 aoa15 ui15 utan15 cn15 ct15 Veff24 aoa24 ui24 utan24 cn24
0.214106220579 14.3544853 49.8662999 -0.544447192 0.263392351 0.267589843 -0.2256007 18.9337865 61.3660387 -1.18064737 0.290719011 0.307194679 -0.167724265 27.6365084 71.6981407 -1.8190975 0.208305914 0.332295351 -0.109908143
0.226391820442 14.782603 48.4196469 -0.605130873 0.283418695 0.261808998 -0.232284413 19.3178892 60.0840917 -1.2838026 0.313279408 0.303365408 -0.174554946 27.9737718 70.7156408 -1.96216099 0.226047963 0.3303619 -0.115589858
0.246757882708 15.5445825 46.3388283 -0.75574482 0.314236174 0.253202313 -0.241637309 20.0301583 58.1887631 -1.52397213 0.347508752 0.297426265 -0.184492863 28.6288983 69.212046 -2.28583221 0.253163948 0.32721511 -0.124218645
0.275040432189 16.7911483 44.4338398 -1.21458379 0.345742759 0.245029819 -0.249920763 21.3010251 56.3204368 -2.17735077 0.379616565 0.291253192 -0.194091675 29.9088231 67.5751494 -3.11698181 0.275919255 0.323533233 -0.133514969
0.311011754392 18.3826011 42.4552117 -1.8971082 0.28016373 0.334090927 -0.240727411 23.0939826 54.5823507 -3.30142634 0.286131819 0.392977347 -0.187573002 31.9532171 65.9681532 -4.68109895 0.152533941 0.432374658 -0.129749086
0.354382230372 19.2115472 31.5568223 -0.901415953 0.178680196 0.575229283 -0.204773821 23.1295524 43.69789 -1.82676011 0.171109476 0.731595978 -0.167656447 31.7157238 57.1369078 -3.5084159 -0.0544989945 0.832920798 -0.117230709
0.404802666088 19.9828468 9.15461111 3.51346427 1.02692453 0.756819879 -0.0128382451 23.6462731 28.9407691 0.21761402 0.535254835 0.857876733 -0.122932694 29.0145698 38.9927028 2.1752368 1.0551149 1.10907445 -0.100765209
0.461867105131 22.5527444 3.56822509 3.21414432 1.0896185 0.670312599 0.0217866205 24.4179307 9.21545872 5.40494706 1.9951064 1.06016758 0.131805092 29.9877252 27.5779462 4.11926461 1.85164217 1.08550887 -0.0440512294
0.525116099474 25.2604328 3.34523876 2.8219853 0.9741599 0.647329298 0.0179370254 27.2256823 10.5745931 4.04871223 1.64709874 1.071489 0.154964475 32.8786895 27.4477436 2.59702987 1.55040893 1.07694771 -0.0434151744
0.594040401469 28.1719657 3.2632422 2.79289931 0.905314343 0.638606397 0.0165544839 30.0651409 10.6236863 3.65734988 1.48159506 1.07360338 0.155528249 35.7040484 27.2624335 1.61613434 1.34288981 1.06429005 -0.0423123943
0.66808507845 31.3057684 3.26071298 2.90709196 0.850182418 0.638335484 0.0165121554 33.0949841 10.5231231 3.49612419 1.35315087 1.06962615 0.154342185 38.823542 27.4647374 0.47321278 1.11374312 1.07808426 -0.0435104909
0.746653964395 34.6554412 3.21691735 3.02245652 0.79191629 0.633628774 0.015782329 36.2976206 9.91491851 3.60403438 1.26471689 1.06558317 0.144662279 40.179172 21.5945489 3.91342936 1.52343945 1.19363352 0.260136469
0.829114467705 38.1873997 3.25586317 3.23347368 0.744525447 0.63781572 0.0164310443 39.7017928 9.58007809 3.71318985 1.17342844 1.06407476 0.138652589 43.5955435 21.7238422 3.08070271 1.29328953 1.19631704 0.26120827
0.914802666068 41.881614 3.28160126 3.41931189 0.694385381 0.640569756 0.0168623177 43.285439 9.26696456 3.78777932 1.08197319 1.06090329 0.132787172 47.0031661 21.0764841 2.78101471 1.15904479 1.18032899 0.254886808
