x1 u10 v10 w10 u15 v15 w15 u24 v24 w24 
-4.5 9.70209518075 0.123837017822 2.63603348327e-06 14.7813629594 0.101956458902 2.82978921904e-05 23.909366969 0.0530150523979 4.16731318036e-05
-4.49599846095 9.70148071621 0.124083583153 -2.82697378281e-06 14.7808728005 0.102178345986 1.78702904547e-05 23.9091448758 0.0531491978533 3.31780597892e-05
-4.49199692189 9.70086625167 0.124330148484 -8.28998104889e-06 14.7803826417 0.10240023307 7.44268871896e-06 23.9089227825 0.0532833433088 2.46829877748e-05
-4.48799538284 9.70025178713 0.124576713815 -1.3752988315e-05 14.7798924828 0.102622120154 -2.98491301678e-06 23.9087006892 0.0534174887642 1.61879157604e-05
-4.48399384379 9.69963732258 0.124823279146 -1.9215995581e-05 14.7794023239 0.102844007239 -1.34125147525e-05 23.9084785959 0.0535516342197 7.69284374606e-06
-4.47999230473 9.69902285804 0.125069844477 -2.46790028471e-05 14.7789121651 0.103065894323 -2.38401164883e-05 23.9082565026 0.0536857796752 -8.02228268327e-07
-4.47599076568 9.69840729391 0.125315624731 -3.0490838426e-05 14.778422044 0.103287632377 -3.38322797981e-05 23.9080303729 0.0538193527881 -1.01443977429e-05
-4.47198922663 9.69778513337 0.125556695354 -3.839527708e-05 14.77793215 0.103508476404 -4.12122704265e-05 23.9077800284 0.0539494924478 -2.45682612347e-05
-4.46798768757 9.69716297284 0.125797765978 -4.6299715734e-05 14.7774422559 0.103729320432 -4.8592261055e-05 23.907529684 0.0540796321076 -3.89921247264e-05
-4.46398614852 9.69654328912 0.126040221416 -5.15136858403e-05 14.7769448062 0.103946045194 -5.45530195252e-05 23.9072737368 0.0542025234187 -4.67996198018e-05
-4.45998460947 9.69593268528 0.126287753539 -4.68644906679e-05 14.776419658 0.104147668872 -5.53109216535e-05 23.9069972502 0.0542988425328 -3.03517355336e-05
-4.45598307041 9.69532208143 0.126535285663 -4.22152954954e-05 14.7758945099 0.104349292551 -5.60688237817e-05 23.9067207635 0.054395161647 -1.39038512653e-05
-4.45198153136 9.69471297431 0.126783300655 -3.64505672425e-05 14.7753732837 0.104551416056 -5.514752917e-05 23.9064403268 0.0544908893218 2.54043642896e-06
-4.4479799923 9.69410760819 0.127032522567 -2.78975927941e-05 14.7748618605 0.104754788867 -5.00291255668e-05 23.9061500171 0.0545851387095 1.89757345793e-05
-4.44397845325 9.69350224208 0.127281744478 -1.93446183457e-05 14.7743504373 0.104958161677 -4.49107219636e-05 23.9058597074 0.0546793880972 3.54110327297e-05
-4.4399769142 9.69289687596 0.12753096639 -1.07916438972e-05 14.7738390142 0.105161534487 -3.97923183604e-05 23.9055693977 0.0547736374849 5.18463308801e-05
-4.43597537514 9.69229150984 0.127780188302 -2.2386694488e-06 14.773327591 0.105364907298 -3.46739147572e-05 23.905279088 0.0548678868726 6.82816290305e-05
-4.43197383609 9.69168614372 0.128029410213 6.31430499963e-06 14.7728161678 0.105568280108 -2.9555511154e-05 23.9049887784 0.0549621362603 8.47169271809e-05
-4.42797229704 9.69106167033 0.128280519059 6.90601511211e-06 14.7723089647 0.105781064277 -2.38122216002e-05 23.9047225755 0.0550772631361 8.35280322185e-05
-4.42397075798 9.69041172728 0.128534143155 -3.11450340124e-06 14.7718073868 0.106006393624 -1.72359698068e-05 23.9044885067 0.0552202193449 5.88463905308e-05
-4.41996921893 9.68976178423 0.128787767251 -1.31350219146e-05 14.771305809 0.106231722971 -1.06597180133e-05 23.904254438 0.0553631755536 3.4164748843e-05
-4.41596767988 9.68911184118 0.129041391347 -2.31555404279e-05 14.7708042311 0.106457052319 -4.08346621982e-06 23.9040203692 0.0555061317624 9.48310715531e-06
-4.41196614082 9.68846189813 0.129295015444 -3.31760589413e-05 14.7703026532 0.106682381666 2.49278557364e-06 23.9037863004 0.0556490879712 -1.51985345324e-05
-4.40796460177 9.68781195507 0.12954863954 -4.31965774546e-05 14.7698010754 0.106907711013 9.06903736711e-06 23.9035522316 0.0557920441799 -3.98801762202e-05
-4.40396306272 9.6871614483 0.129797216399 -4.73670969078e-05 14.769302746 0.107127725683 1.8508578453e-05 23.9033155028 0.0559310583647 -6.06011782986e-05
-4.39996152366 9.68651051887 0.130042009158 -4.71516549204e-05 14.768806852 0.107343755742 3.00948338033e-05 23.9030767797 0.0560671170678 -7.83527418477e-05
-4.39595998461 9.68585958945 0.130286801916 -4.6936212933e-05 14.7683109581 0.107559785801 4.16810891536e-05 23.9028380567 0.0562031757709 -9.61043053968e-05
-4.39195844556 9.68522366217 0.130543616283 -5.06777212382e-05 14.7677806268 0.107783743838 3.23344111181e-05 23.9025499494 0.0563137838183 -9.28393584718e-05
-4.3879569065 9.68459606591 0.130807106512 -5.66166106323e-05 14.7672311716 0.108012104455 1.13632170899e-05 23.902234418 0.0564102585598 -7.79034833679e-05
-4.38395536745 9.68396846966 0.13107059674 -6.25555000264e-05 14.7666817164 0.108240465071 -9.60797693823e-06 23.9019188866 0.0565067333013 -6.2967608264e-05
-4.3799538284 9.68335093889 0.13133423098 -5.77603515977e-05 14.7661410486 0.108467579537 -3.08891767704e-05 23.9016159613 0.056601782095 -3.90988609998e-05
-4.37595228934 9.68273743221 0.131597922795 -4.86738454612e-05 14.7656038939 0.108694195806 -5.22943137283e-05 23.9013180758 0.0566962608095 -1.16588434988e-05
-4.37195075029 9.68212392553 0.131861614609 -3.95873393248e-05 14.7650667392 0.108920812074 -7.36994506863e-05 23.9010201903 0.0567907395239 1.57811740023e-05
