x1 u10 v10 w10 u15 v15 w15 u24 v24 w24 
-4.5 9.66196557052 0.0443729045955 8.55600671211e-07 14.7464698847 0.0368883308754 1.95552948426e-05 23.8904417582 0.0192804802585 -3.30041742748e-05
-4.49599846095 9.66125085825 0.0444773763407 -5.63420877803e-06 14.7458891092 0.0369668839998 1.40592639161e-05 23.8901359718 0.0193331347432 -3.09605491457e-05
-4.49199692189 9.66053601058 0.0445815444948 -1.21214037861e-05 14.7453080884 0.0370451583475 8.63252316594e-06 23.8898300648 0.0193856087137 -2.8252991508e-05
-4.48799538284 9.65981845528 0.0446796417863 -1.85563182191e-05 14.7447221594 0.0371178580439 4.5913673638e-06 23.8895217467 0.0194344729702 -1.22688781234e-05
-4.48399384379 9.65910089998 0.0447777390778 -2.4991232652e-05 14.7441362303 0.0371905577403 5.50211561661e-07 23.8892134285 0.0194833372268 3.71523526107e-06
-4.47999230473 9.65838334468 0.0448758363693 -3.1426147085e-05 14.7435503013 0.0372632574367 -3.49094424048e-06 23.8889051103 0.0195322014834 1.96993486456e-05
-4.47599076568 9.65766578938 0.0449739336608 -3.78610615179e-05 14.7429643723 0.0373359571331 -7.53210004262e-06 23.8885967921 0.01958106574 3.56834620301e-05
-4.47198922663 9.65694823407 0.0450720309522 -4.42959759508e-05 14.7423784433 0.0374086568295 -1.15732558448e-05 23.8882884739 0.0196299299966 5.16675754146e-05
-4.46798768757 9.65623067877 0.0451701282437 -5.07308903838e-05 14.7417925143 0.0374813565259 -1.56144116469e-05 23.8879801557 0.0196787942531 6.76516887992e-05
-4.46398614852 9.65551270918 0.0452649635988 -5.454859449e-05 14.7412044378 0.0375560264337 -1.89393744169e-05 23.8876679289 0.0197251602028 7.62779153349e-05
-4.45998460947 9.65479322081 0.0453478408071 -4.87716954394e-05 14.7406084886 0.0376379190688 -1.9638798132e-05 23.8873413732 0.0197623674453 5.79303814251e-05
-4.45598307041 9.65407373243 0.0454307180154 -4.29947963888e-05 14.7400125395 0.0377198117039 -2.03382218472e-05 23.8870148174 0.0197995746878 3.95828475153e-05
-4.45198153136 9.65335424406 0.0455135952236 -3.72178973381e-05 14.7394165904 0.037801704339 -2.10376455624e-05 23.8866882617 0.0198367819303 2.12353136055e-05
