r  Veff10 alpha10 ui10 utan10 cn10 ct10 Veff15 alpha15 ui15 utan15 cn15 ct15 Veff24 alpha24 ui24 utan24 cn24 ct24 
0.6403125 29.7697117853 2.62692786428  6.8011549716 28.9821075223 0.563554805142 0.00645503476558 31.0706822277 9.32262720191  10.5764398697 29.2138638172 1.02294665502 0.129257478593 31.6750580074 25.6957879041  18.7399461136 25.5354388197 0.908803830775 -0.0122539154195
0.6721875 30.7739251821 2.77227140691  6.72632706967 30.0295289212 0.581001243779 0.00863745318384 31.6999379325 9.60734664567  10.5607160659 29.8878932105 1.03204615606 0.134741266848 33.2245279222 24.5152792928  18.7551216737 27.4226161891 1.04721319041 0.178146252385
0.7040625 32.4739650161 2.62220969535  6.69000140377 31.7770906257 0.565270941644 0.00641504190164 33.6298549147 9.00258471749  10.5421268109 31.9337865507 1.02889883425 0.125005916467 35.2090168182 22.5664479614  18.5700406315 29.9124299118 1.10172542049 0.242464198922
0.7359375 33.4563378837 2.70310687738  6.60324968253 32.7979708354 0.575047306636 0.00762789726331 34.256058873 9.15493885153  10.4917380959 32.6089020047 1.0355631831 0.128085988516 36.2995405593 22.2416945473  18.6535823527 31.1386894992 1.106715657 0.242937268216
0.7678125 35.1816078137 2.61993947871  6.54968686981 34.5663060933 0.56623395222 0.00640122770468 36.2326770532 8.64158498399  10.4426311801 34.6944029571 1.02713065083 0.119612333621 38.088508407 21.0430245847  18.5541492594 33.2627774833 1.09882012278 0.237023989795
0.7996875 36.1554447678 2.72266737857  6.44545305494 35.5759952707 0.578096400827 0.00793160215923 36.8451178212 8.7935547777  10.3659147284 35.3560314077 1.03391967013 0.122501440389 38.8437295103 21.369267504  18.7822246564 33.9993919211 1.10835493057 0.240397664797
0.8315625 37.9102584999 2.69951499507  6.38227029018 37.3688985434 0.575811040141 0.00759182594401 38.8608142105 8.41553082969  10.32506854 37.4633734234 1.02442319139 0.116405012665 40.599374111 20.4772505464  18.7276326507 36.0209252757 1.10321157053 0.235312150534
0.8634375 39.2710709885 2.68980429143  6.30327028785 38.7616888693 0.574938223735 0.00745393429743 40.1899499931 8.30041368451  10.2982708182 38.8475030299 1.02163163744 0.114726300334 41.8677928648 20.1707305697  18.8232416732 37.396826342 1.10497236357 0.234126831406
0.8953125 40.2532432958 2.79023635324  6.22115442665 39.7693284375 0.586240215282 0.00896737971966 40.8511734516 8.5008621564  10.2983548666 39.5309770066 1.03028941398 0.118155683465 42.5958039844 20.4070405907  19.011545039 38.1162698876 1.10961393329 0.23629304821
0.9271875 41.6319434815 2.80283402222  6.16450977839 41.1727320994 0.587704384851 0.00915973619607 42.2036731043 8.42050716128  10.3050525039 40.9253888057 1.0283995093 0.116949679907 43.869382278 20.0085864638  19.0391420857 39.5211924066 1.10971650942 0.2342556014
0.9590625 42.9994952847 2.755034717  6.1108883151 42.5627816026 0.582447664642 0.00843567987987 43.536210155 8.2296311709  10.270442426 42.3067014004 1.02172574049 0.113944265619 45.1488031465 19.5100412542  19.0276700559 40.9420959979 1.10913582273 0.231496977309
