Time;TSR;Thrust;Power;Ct;Cp;MeanWind_Norm;Full_TI;Pitch;Omega
3.19;1.2e-11;134.722;4.14571e-07;0.000984517;2.01972e-13;15;0;-1.43117;-1e-11;
3.245;1.2e-11;134.635;4.14609e-07;0.000983885;2.01991e-13;15;0;-1.43117;-1e-11;
3.3;1.2e-11;134.554;4.14645e-07;0.000983286;2.02009e-13;15;0;-1.43117;-1e-11;
3.355;1.2e-11;134.476;4.14679e-07;0.000982718;2.02025e-13;15;0;-1.43117;-1e-11;
3.41;1.2e-11;134.402;4.14712e-07;0.000982179;2.02041e-13;15;0;-1.43117;-1e-11;
3.465;1.2e-11;134.332;4.14742e-07;0.000981668;2.02056e-13;15;0;-1.43117;-1e-11;
3.52;1.2e-11;134.266;4.14772e-07;0.000981181;2.0207e-13;15;0;-1.43117;-1e-11;
3.575;1.2e-11;134.202;4.14799e-07;0.000980719;2.02084e-13;15;0;-1.43117;-1e-11;
3.63;1.2e-11;134.142;4.14826e-07;0.000980279;2.02097e-13;15;0;-1.43117;-1e-11;
3.685;1.2e-11;134.085;4.14851e-07;0.00097986;2.02109e-13;15;0;-1.43117;-1e-11;
3.74;1.2e-11;134.03;4.14875e-07;0.00097946;2.02121e-13;15;0;-1.43117;-1e-11;
3.795;1.2e-11;133.978;4.14898e-07;0.000979079;2.02132e-13;15;0;-1.43117;-1e-11;
3.85;1.2e-11;133.928;4.14919e-07;0.000978715;2.02142e-13;15;0;-1.43117;-1e-11;
3.905;1.2e-11;133.88;4.1494e-07;0.000978367;2.02152e-13;15;0;-1.43117;-1e-11;
3.96;1.2e-11;133.835;4.1496e-07;0.000978035;2.02162e-13;15;0;-1.43117;-1e-11;
4.015;1.2e-11;133.792;4.14979e-07;0.000977717;2.02171e-13;15;0;-1.43117;-1e-11;
4.07;1.2e-11;133.75;4.14997e-07;0.000977413;2.0218e-13;15;0;-1.43117;-1e-11;
4.125;1.2e-11;133.71;4.15014e-07;0.000977122;2.02189e-13;15;0;-1.43117;-1e-11;
4.18;1.2e-11;133.672;4.15031e-07;0.000976843;2.02197e-13;15;0;-1.43117;-1e-11;
4.235;1.2e-11;133.635;4.15047e-07;0.000976576;2.02204e-13;15;0;-1.43117;-1e-11;
4.29;1.2e-11;133.6;4.15062e-07;0.000976319;2.02212e-13;15;0;-1.43117;-1e-11;
