r u10 v10 w10 u15 v15 w15 u24 v24 w24
0.408134 8.78366977486 -0.270476546436 -1.58506470247 15.0878074291 -0.243239436744 -1.55305655128 24.2225154878 -0.0047801123743 -1.78447774235
0.409748 8.73587107387 -0.264505122595 -1.60326259313 15.0329976488 -0.242907621132 -1.58694626182 24.1923860288 -0.0069008135095 -1.81513591035
0.411362 8.689809073 -0.258840800495 -1.62043703772 14.976835783 -0.242673584026 -1.62135754822 24.1620614026 -0.0089356585861 -1.84564369233
0.412976 8.64567788454 -0.253504561924 -1.636531953 14.9193267067 -0.242555482571 -1.65629434798 24.1315819844 -0.0108669050723 -1.87602149502
0.41459 8.60358477075 -0.248475663672 -1.65150361406 14.8604028364 -0.242592083119 -1.69174766525 24.1008398157 -0.0126801654395 -1.90629526846
0.416204 8.56357596062 -0.243728661298 -1.66534220429 14.8001816723 -0.242823731607 -1.72769021665 24.0699113132 -0.0143414504583 -1.93649355853
0.417818 8.52564241655 -0.239209414959 -1.67807446122 14.7386672562 -0.243270496424 -1.76408685212 24.0386986019 -0.0158353809261 -1.96663753197
0.419432 8.48970784275 -0.234861616048 -1.68974736818 14.6759722548 -0.243974991012 -1.80087964237 24.0071691815 -0.0171188250949 -1.99676244298
0.421046 8.45562063523 -0.230628768869 -1.70043702092 14.6121790434 -0.244960211691 -1.83798084141 23.9753319271 -0.0181601212439 -2.02689099997
0.42266 8.42314354846 -0.226443092653 -1.71024719434 14.5474053306 -0.246240313506 -1.87530146988 23.9430995053 -0.0189262788826 -2.05705491549
0.424274 8.39203383278 -0.222260606597 -1.71930283414 14.4819960753 -0.247835728186 -1.91272455674 23.9104956243 -0.0193800383523 -2.08727709791
0.425888 8.36203813029 -0.218060406507 -1.7277193485 14.4160189859 -0.249742215748 -1.95010958921 23.8774750341 -0.0194872662618 -2.11758151814
0.427502 8.3329068164 -0.213824161869 -1.73559727478 14.3497682715 -0.251947952024 -1.98730393364 23.8440260264 -0.0192063483593 -2.14798527202
0.429116 8.30444672057 -0.209576470891 -1.74304510871 14.2835584325 -0.254423107396 -2.0241335522 23.8101015176 -0.0185142591783 -2.1785035471
0.43073 8.27652759713 -0.205343478833 -1.7501113919 14.217703428 -0.257133960555 -2.06042542789 23.7757476746 -0.0173540986172 -2.20913895586
0.432343 8.24908191697 -0.201164712183 -1.75682429936 14.1524383835 -0.260012370975 -2.095993777 23.7409398724 -0.0157105883044 -2.23988437332
