r u10 v10 w10 u15 v15 w15 u24 v24 w24
0.327437 8.14964690526 -0.54729252307 -0.0122319426024 13.2073838807 -0.707585970998 -0.0222351225652 23.1997557969 -0.59058916112 -0.0265264427788
0.329051 8.14537543069 -0.548613209794 -0.0122748346791 13.201882251 -0.709483384565 -0.0223100872723 23.1952590851 -0.592144893403 -0.0266090836921
0.330665 8.14109642278 -0.549907371081 -0.0123170124245 13.1963766631 -0.711351246858 -0.0223865961493 23.1907496233 -0.593674577334 -0.0266903882324
0.332279 8.13681202738 -0.551180800683 -0.0123593873358 13.1908329085 -0.713187420372 -0.0224608565698 23.1862019947 -0.595176794575 -0.0267714256918
0.333893 8.13250104861 -0.552427617345 -0.0124006503311 13.1852812789 -0.714992341776 -0.0225352672843 23.1816425745 -0.596652223878 -0.0268509599428
0.335507 8.12817850316 -0.553649774401 -0.0124430299537 13.1797130242 -0.716766039401 -0.0226076382904 23.1770871127 -0.598100257323 -0.0269300264905
0.337121 8.12385157439 -0.554846980603 -0.0124829905315 13.1741232279 -0.718507775335 -0.0226798785087 23.1725149842 -0.599521549914 -0.0270074395788
0.338735 8.11951854562 -0.55602247262 -0.0125230274871 13.1685225566 -0.720216297489 -0.0227511469358 23.1679173557 -0.600914902483 -0.0270841353784
0.340349 8.11517092101 -0.557167560025 -0.0125646066117 13.1628876353 -0.721892827117 -0.0228230389916 23.1633000605 -0.602281043363 -0.0271582849695
0.341963 8.11081417971 -0.558292619498 -0.0126044155683 13.1572360472 -0.723537448385 -0.0228949288004 23.1586818903 -0.60361770297 -0.0272333283547
0.343577 8.10643959258 -0.559389756862 -0.0126426254393 13.1515677925 -0.725150478374 -0.0229642821927 23.1540558451 -0.604927847973 -0.0273060074898
0.34519 8.10206364294 -0.560461649625 -0.0126822694794 13.1458789545 -0.726728398332 -0.0230341406267 23.1494004249 -0.606208927954 -0.0273782457938
0.346804 8.09767778496 -0.561510199447 -0.0127200373949 13.1401734498 -0.728276513688 -0.0231038870237 23.1447243379 -0.607463292913 -0.0274490422667
0.348418 8.09328262699 -0.5625335505 -0.0127592030212 13.1344679451 -0.729790281513 -0.0231713960441 23.1400561677 -0.608689258267 -0.0275191164904
0.350032 8.08887432732 -0.563532184446 -0.0127956971836 13.1287163987 -0.731272028477 -0.0232403943606 23.1353595808 -0.609886469016 -0.0275884474662
0.351646 8.08446435683 -0.564504447122 -0.0128328653907 13.1229569772 -0.732720212497 -0.0233071096341 23.1306502022 -0.611055411827 -0.0276564614424
0.35326 8.0800422405 -0.565450941443 -0.0128694544719 13.1171975558 -0.734137444408 -0.0233747428694 23.125949657 -0.612195507532 -0.027725071504
0.354874 8.07561169917 -0.566372026991 -0.0129059230966 13.1114166344 -0.735516811288 -0.0234411375211 23.1212403201 -0.613308503633 -0.0277904914811
