r   Veff10  aoa10 ui10 utan10 cn10 ct10 Veff15 aoa15 ui15 utan15 cn15 ct15 Veff24 aoa24 ui24 utan24 cn24
0.214106223786 10.46519059 48.8176158754 2.3611284 -2.42651266 0.26341609 -0.23046033 13.60647441 59.9709641493 3.46929746 -2.39590814 0.30302017 -0.17515358 19.86290948 70.6811564976 5.49102627 -2.43545436 0.33029227 -0.11578867
0.226391822313 12.29239681 47.21991848 1.31387996 -1.42783964 0.25688811 -0.23771517 15.7550836 58.5096140933 1.91191148 -1.39370101 0.29845474 -0.18282442 22.75494829 69.5639260393 3.00924687 -1.40554534 0.32797182 -0.12220674
0.246757886353 14.2190401 44.7555296004 0.43171326 -0.51166957 0.24642914 -0.2485411 17.85082943 56.1930116555 0.61880813 -0.49058505 0.29082081 -0.19473894 25.35793426 67.7516175615 0.96532181 -0.48864376 0.32394292 -0.13251787
0.275040432978 15.31325839 41.6799792457 0.31773154 -0.42042243 0.2327393 -0.2614047 18.81272318 53.1888655931 0.44729316 -0.39449717 0.28021523 -0.20971272 26.19627205 65.319482195 0.68994309 -0.38687037 0.31802757 -0.14614535
0.311011755639 16.58232038 37.5203096637 0.38464733 -0.37515025 0.30433582 -0.25941031 19.85652627 49.0025689435 0.50723522 -0.34109865 0.36815768 -0.21323593 26.94687486 61.7487438985 0.74318156 -0.32702735 0.41952253 -0.1519567
0.354382229183 17.89814512 27.3212225977 0.97966666 -0.30289132 0.48972797 -0.21368535 20.73194268 38.4243585692 1.30336171 -0.20514262 0.67456137 -0.18501437 27.16378662 51.8351370646 1.79893628 -0.10742355 0.7988407 -0.13813054
0.404802662529 19.94788512 11.6827503903 2.56880412 0.98208029 0.82152789 0.01498526 22.27668733 26.013342152 1.94923986 0.35457992 0.74929694 -0.12629844 27.80328057 38.9610968373 3.00769195 0.78785725 1.10848236 -0.1008542
0.461867107125 22.5640871 3.86804323155 2.78493533 1.63220596 0.69985125 0.02715368 24.85956718 12.5240678657 3.40533235 2.57309664 1.15746038 0.18172997 29.52362413 29.6514860682 3.34476155 1.63680352 1.18659723 -0.04302401
0.525116097804 25.17221218 3.19170838032 2.65878552 1.41123783 0.63090708 0.01536498 27.30586202 11.0508810747 3.36166282 2.33885375 1.10311012 0.16022833 31.79786274 27.7349863613 2.9551384 1.33029013 1.0953265 -0.04453005
0.594040402361 28.02971027 3.00125663626 2.75660878 1.25521757 0.61013055 0.01228124 30.01428263 10.5330962505 3.37173394 2.06974356 1.06995783 0.15446562 34.28007948 26.6287813299 2.65608677 1.0182148 1.02312786 -0.0420684
0.668085078987 31.13096852 2.96621682934 2.95204452 1.13111507 0.6062812 0.01172797 32.94892683 10.1120599336 3.50332549 1.84483916 1.06535022 0.14810127 36.874987 25.5934087789 2.53901329 0.72018048 0.99777871 -0.07013957
0.746653962428 34.45847291 2.88233924588 3.14358155 1.01932885 0.59704035 0.01042101 36.11365922 9.52305072582 3.69085339 1.6693723 1.06361964 0.13760282 40.29251 22.8044977499 2.91447191 1.64248315 1.21131163 0.26717146
0.829114464326 37.9719817 2.88822925201 3.42478095 0.92157025 0.59769062 0.01051201 39.49483475 9.21815008923 3.85809518 1.49201884 1.06020803 0.13185646 43.397589 21.8897230745 2.91096561 1.4448421 1.19942308 0.26248045
0.914802666054 41.65020353 2.86455349 3.69055168 0.82713065 0.59507532 0.01014689 43.06021682 8.89594039764 4.00093737 1.33569268 1.05339175 0.12571678 46.70984301 20.9587388501 2.88500858 1.27332577 1.17767591 0.25374385
1.00302864609 45.46777634 2.75732558456 3.85881108 0.73941278 0.58317872 0.00851496 46.78241716 8.43436216014 4.09654507 1.21212233 1.03645893 0.1175778 50.19128586 19.8114000327 2.89343617 1.16202915 1.16427508 0.24471444
1.0930820666 49.37437072 2.54355445824 4.31339638 0.69334257 0.58562936 0.00954524 50.61073499 7.79040400799 4.57274926 1.19641882 1.07300894 0.12216065 53.77450414 19.059685708 2.85147718 0.99253259 1.12489019 0.21915869
1.1842378729 53.36738528 2.27184240192 4.71925242 0.66895182 0.59096119 0.01116284 54.51044213 7.1151125129 5.02579039 1.17491662 1.10090118 0.12162822 57.4429601 18.2333762891 2.80265577 0.83792014 1.08815996 0.18779412
1.27576212424 57.38639347 2.1184896751 4.98775862 0.6272519 0.59031519 0.01150295 58.45200864 6.73165019527 5.21407736 1.09963437 1.09287537 0.11631942 61.17670533 17.3368325578 2.83769451 0.74717576 1.07867449 0.16925809
1.36691793054 61.3849357 2.10436798432 5.21812478 0.56406982 0.58876399 0.0113102 62.39064283 6.56300407898 5.31058042 1.00241226 1.07426953 0.11109487 64.94505174 16.5579119051 2.93252318 0.69782946 1.08486151 0.16407475
1.45697135104 65.3388152 2.17817984524 5.52046934 0.49570726 0.59687121 0.0123247 66.28892853 6.5051118504 5.47561036 0.90813026 1.06788982 0.10932545 68.69804876 16.0286599036 3.01442672 0.63932321 1.08747951 0.16063956
