Radius (m) Pos.      x (m)           Pos.      y (m)           Pos.  z     (m)            Wnd.      x (m/s)         Wnd.      y (m/s)         Wnd.  z     (m/s)          Rel. Vel. x (m/s) [elt]   Rel. Vel. x (m/s) [elt]   Rel. Vel. z (m/s) [elt]    Infl. Ang.  (rad)         AOA         (o)            Cl          (.)           Cd          (.)           Cm          (.)            Force x     (N/m) [elt]   Force y     (N/m) [elt]   Moment z    (N/m) [elt]    Force x     (N/m) [glo]   Force y     (N/m) [glo]   Force z     (N/m) [glo]    Moment x    (N)   [glo]   Moment y    (N)   [glo]   Moment z    (N)   [glo]      
+5.00000000e-02 +6.06238855e-29 +9.00000000e-01 +9.90063185e-13 +1.50000000e+01 +0.00000000e+00 +0.00000000e+00 +1.10673757e-01 +7.87484704e-01 +1.48540210e+01 +0.00000000e+00 +3.06445716e+00 +6.55342448e-01 +9.25895450e-03 -7.95894606e-02 +1.55853523e+02 -6.13715632e+00 -1.89407422e+01 +1.56131881e+01 -1.70719923e-10 +1.55190894e+02 +1.15978597e-15 -1.89407422e+01 -2.08361462e-11
+1.50000000e-01 +1.81871657e-28 +2.70000000e+00 +2.97018955e-12 +1.50000000e+01 +0.00000000e+00 +0.00000000e+00 +1.28787582e-01 +9.16371268e-01 +1.48540210e+01 +0.00000000e+00 +3.56481002e+00 +7.16081494e-01 +9.35785130e-03 -8.16526560e-02 +1.70394466e+02 -8.38168591e+00 -1.94514086e+01 +1.54142103e+01 -1.86903959e-10 +1.69902704e+02 +1.19105526e-15 -1.94514086e+01 -2.13979150e-11
+2.50000000e-01 +3.03119428e-28 +4.50000000e+00 +4.95031592e-12 +1.50000000e+01 +0.00000000e+00 +0.00000000e+00 +1.33012341e-01 +9.46431991e-01 +1.48540210e+01 +0.00000000e+00 +3.68143385e+00 +7.29690639e-01 +9.39445370e-03 -8.18476520e-02 +1.73657669e+02 -8.93026597e+00 -1.95028874e+01 +1.53251191e+01 -1.90542769e-10 +1.73210498e+02 +1.19420743e-15 -1.95028874e+01 -2.14545453e-11
+3.50000000e-01 +4.24367199e-28 +6.30000000e+00 +6.93044229e-12 +1.50000000e+01 +0.00000000e+00 +0.00000000e+00 +1.34312236e-01 +9.55681227e-01 +1.48540210e+01 +0.00000000e+00 +3.71731116e+00 +7.33814220e-01 +9.40607200e-03 -8.18799271e-02 +1.74646875e+02 -9.10068326e+00 -1.95121579e+01 +1.52940312e+01 -1.91646468e-10 +1.74213794e+02 +1.19477508e-15 -1.95121579e+01 -2.14647435e-11
+4.50000000e-01 +5.45614970e-28 +8.10000000e+00 +8.91056866e-12 +1.50000000e+01 +0.00000000e+00 +0.00000000e+00 +1.34730459e-01 +9.58657037e-01 +1.48540210e+01 +0.00000000e+00 +3.72885356e+00 +7.35133796e-01 +9.40981226e-03 -8.18875873e-02 +1.74963476e+02 -9.15566751e+00 -1.95144950e+01 +1.52836443e+01 -1.91999780e-10 +1.74534966e+02 +1.19491819e-15 -1.95144950e+01 -2.14673145e-11
+5.50000000e-01 +6.66862741e-28 +9.90000000e+00 +1.08906950e-11 +1.50000000e+01 +0.00000000e+00 +0.00000000e+00 +1.34730463e-01 +9.58657062e-01 +1.48540210e+01 +0.00000000e+00 +3.72885366e+00 +7.35133807e-01 +9.40981229e-03 -8.18875874e-02 +1.74963478e+02 -9.15566796e+00 -1.95144950e+01 +1.52836442e+01 -1.91999782e-10 +1.74534968e+02 +1.19491819e-15 -1.95144950e+01 -2.14673145e-11
+6.50000000e-01 +7.88110512e-28 +1.17000000e+01 +1.28708214e-11 +1.50000000e+01 +0.00000000e+00 +0.00000000e+00 +1.34312242e-01 +9.55681266e-01 +1.48540210e+01 +0.00000000e+00 +3.71731132e+00 +7.33814237e-01 +9.40607205e-03 -8.18799272e-02 +1.74646879e+02 -9.10068398e+00 -1.95121579e+01 +1.52940310e+01 -1.91646472e-10 +1.74213798e+02 +1.19477509e-15 -1.95121579e+01 -2.14647435e-11
+7.50000000e-01 +9.09358283e-28 +1.35000000e+01 +1.48509478e-11 +1.50000000e+01 +0.00000000e+00 +0.00000000e+00 +1.33012341e-01 +9.46431989e-01 +1.48540210e+01 +0.00000000e+00 +3.68143384e+00 +7.29690638e-01 +9.39445370e-03 -8.18476520e-02 +1.73657669e+02 -8.93026594e+00 -1.95028874e+01 +1.53251191e+01 -1.90542769e-10 +1.73210498e+02 +1.19420743e-15 -1.95028874e+01 -2.14545453e-11
+8.50000000e-01 +1.03060605e-27 +1.53000000e+01 +1.68310741e-11 +1.50000000e+01 +0.00000000e+00 +0.00000000e+00 +1.28787592e-01 +9.16371340e-01 +1.48540210e+01 +0.00000000e+00 +3.56481030e+00 +7.16081527e-01 +9.35785138e-03 -8.16526566e-02 +1.70394474e+02 -8.38168719e+00 -1.94514087e+01 +1.54142101e+01 -1.86903967e-10 +1.69902712e+02 +1.19105527e-15 -1.94514087e+01 -2.13979151e-11
+9.50000000e-01 +1.15185382e-27 +1.71000000e+01 +1.88112005e-11 +1.50000000e+01 +0.00000000e+00 +0.00000000e+00 +1.10673754e-01 +7.87484682e-01 +1.48540210e+01 +0.00000000e+00 +3.06445707e+00 +6.55342437e-01 +9.25895449e-03 -7.95894602e-02 +1.55853520e+02 -6.13715595e+00 -1.89407422e+01 +1.56131882e+01 -1.70719920e-10 +1.55190892e+02 +1.15978596e-15 -1.89407422e+01 -2.08361461e-11
